text,intensity,affect,stems
derogation,"0,5",anger,derog
banished,"0,5",anger,banish
hammering,"0,5",anger,hammer
brunt,"0,5",anger,brunt
possessed,"0,5",anger,possess
nobodycares,"0,5",anger,nobodycar
frenzied,"0,5",anger,frenzi
ordeal,"0,5",anger,ordeal
delusional,"0,5",anger,delusion
reject,"0,5",anger,reject
obstruct,"0,5",anger,obstruct
foaming,"0,5",anger,foam
intractable,"0,5",anger,intract
bout,"0,5",anger,bout
brazen,"0,5",anger,brazen
patronising,"0,5",anger,patronis
rejects,"0,5",anger,reject
fervor,"0,5",anger,fervor
dominate,"0,5",anger,domin
derision,"0,5",anger,deris
spear,"0,5",anger,spear
suppression,"0,5",anger,suppress
animus,"0,5",anger,animus
unruly,"0,5",anger,unruli
disrupting,"0,5",anger,disrupt
malpractice,"0,5",anger,malpractic
defy,"0,5",anger,defi
injustice,"0,5",anger,injustic
antithesis,"0,5",anger,antithesi
